CreatureId,Arksplorer,Arkpedia,ArkpediaUrl,Dodex,DodexUrl,Maps,Habitat
Achatina_Character_BP_C,Achatina,Achatina,Achatina,Achatina,achatina,"The Island, The Center, Scorched Earth, Ragnarok, Aberration, Extinction, Valguero, Crystal Isles, Mobile","Subterranean, Terrestrial"
Allo_Character_BP_C,Allosaurus,Allosaurus,Allosaurus,Allosaurus,allosaurus,"The Island, The Center, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Terrestrial
Ammonite_Character_C,Ammonite,Ammonite,Ammonite,Ammonite,ammonite,"The Island, The Center, Ragnarok, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Aquatic
Angler_Character_BP_C,Anglerfish,Anglerfish,Anglerfish,Angler,angler,"The Island, The Center, Ragnarok, Aberration, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Aquatic, Subterranean"
Ankylo_Character_BP_C,Ankylosaurus,Ankylosaurus,Ankylosaurus,Ankylosaurus,ankylosaurus,"The Island, The Center, Scorched Earth, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Terrestrial, Subterranean"
SpiderS_Character_BP_C,Araneo,Araneo,Araneo,Araneo,araneo,"The Island, The Center, Scorched Earth, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Subterranean, Terrestrial"
Archa_Character_BP_C,Archaeopteryx,Archaeopteryx,Archaeopteryx,Archaeopteryx,archaeopteryx,"The Island, The Center, Scorched Earth, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Arboreal
Argent_Character_BP_C,Argentavis,Argentavis,Argentavis,Argentavis,argentavis,"The Island, The Center, Scorched Earth, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Aerial
Arthro_Character_BP_C,Arthropluera,Arthropluera,Arthropluera,Arthropluera,arthropluera,"The Island, The Center, Scorched Earth, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Subterranean, Terrestrial"
Baryonyx_Character_BP_C,Baryonyx,Baryonyx,Baryonyx,Baryonyx,baryonyx,"The Island, The Center, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Terrestrial, Subterranean"
